index,machine,top25
58,0,"'urea', 'ambulation assistance', 'machine code', 'heparin', 'hemodialysis', 'water sampling', 'homeostasis', 'dialysis', 'hemostasis', 'end stage renal disease (esrd) knowledge', 'patient care monitoring', 'continuous quality improvement', 'height and weight measurement', 'heavy lifting', 'intensive care unit (icu) experience', 'patient admission', 'bicarbonate', 'peritoneal', 'faculty training', 'peritoneal dialysis', 'epogen', 'patient observation', 'nephrology', 'patient data analysis', 'chronic kidney failure diagnosis / treatment'"
59,0,"'fundoplication', 'diverticulitis', 'adrenal gland', 'claudication', 'varices', 'stone extraction', 'empyema', 'thoracic outlet syndrome', 'mediastinum', 'acute pancreatitis diagnosis / treatment', 'sedation management', 'colectomy', 'necrotizing fasciitis', 'thyroidectomy', 'intussusception', 'large bowel', 'esophagoscopy', 'autoimmune hepatitis diagnosis / treatment', 'radical prostatectomy', 'rectal bleeding', 'family adaptation assessment', 'oropharynx', 'fever of unknown origin', 'internal pacemaker', 'transjugular intrahepatic portosystemic shunt'"
60,1,"'multidetector ct', 'nuclear magnetic resonance imaging', 'radiographic contrast media', 'cardiovascular nuclear medicine procedures', 'tomogram', 'radiological services coordination', 'pyelogram', 'rtpa', 'diagnostic image reading', 'image - guided biopsy', 'diagnostic mammogram', 'cerebral aneurysm diagnosis / treatment', 'multislice ct', 'venous aneurysm', 'screening mammogram', 'radioactive iodine therapy', 'pyloric stenosis', 'transjugular intrahepatic portosystemic shunt', 'arteriovenous malformation', 'antispasmodic drugs', 'percutaneous transluminal angioplasty', 'transhepatic biliary drainage', 'radionuclide administration', 'cholangiogram', 'vcug'"
61,0,"'hr strategy', 'hr project management', 'high potential identification', 'strategic hr leadership', 'cultural change initiatives', 'global hr leadership', 'high potential development', 'employee relations investigations', 'leave of absence management', 'organizational development', 'hr metrics', 'union avoidance', 'high potential programs', 'executive coaching', 'compensation administration', 'total rewards strategy', 'eeo reporting', '360 feedback', 'union avoidance training', 'coordinate hr initiatives', 'benefits program administration', 'benefits program design', 'benefits strategies', 'compensation program design', 'hr policies'"
62,0,"'merchandise presentation', 'merchandise display', 'sales floor maintenance', 'store level tasks', 'general retail practices', 'planogram execution', 'store operations', 'furniture sales', 'retail trends', 'merchandising', 'apparel sales', 'store communications', 'issuing store credit', 'new store setups', 'store merchandising', 'freight flow', 'merchandise maintenance', 'retail support', 'appliance sales', 'showroom sales', 'visual merchandising', 'ear piercing', 'footwear sales', 'planogram design', 'consumer electronics'"
63,0,"iv preparations', 'hospital pharmacy experience', 'medication selection', 'drug preparation', 'drug therapy', 'prescription compounding', 'total parenteral nutrition', 'extemporaneous pharmaceutical compounding', 'iv admixture', 'drug interaction', 'medication delivery', 'medication distribution', 'antineoplastic', 'drug storage', 'pharmaceutical services', 'laminar flow hood maintenance', 'parenteral nutrition', 'pharmaceutical preparation', 'pharmacist assistance', 'drug formulary', 'institutional pharmacy experience', 'pharmaceuticals labeling', 'warfarin', 'prescription review', 'adverse drug interactions'"
64,1,"'border gateway protocol (bgp)', 'spanning tree', 'dmvpn', 'border gateway protocol', 'tacacs', 'enhanced interior gateway routing protocol (eigrp)', 'eigrp', 'open shortest path first (ospf)', 'ospf', 'cisco routing', 'cisco wireless', 'cisco secure access control server (acs)', 'tacacs+', 'juniper networks', 'netflow', 'jncip', 'netscreen', 'juniper wireless', 'cisco nexus', 'junos', 'frame relay', 'jncia', 'ciscoworks', 'juniper routing', 'juniper security/vpn'"
65,0,"'shipping through ups', 'warehouse inventory maintenance', 'shipping through fedex', 'receiving functions', 'shipping and receiving', 'shipping procedures', 'shipping preparation', 'shipping software', 'material handling equipment', 'computerized inventory management', 'shipping regulations', 'pallet jack operation', 'rf scan gun', 'power hoists', 'shipping', 'inventory checking', 'inventory discrepancy resolution', 'materials packing', 'nail guns', 'shipping records maintenance', 'domestic shipping', 'order correction', 'crating', 'shrink wrapping', 'shipping management / coordination'"
66,0,"'retail marketing calendar', 'teleselling', 'circulation sales', 'online affiliate programs', 'b2b services marketing', 'freight transportation sales', 'travel marketing', 'marketing budget', 'equipment financing industry knowledge', 'market execution', 'telecommunications marketing', 'government marketing', 'inventory pipeline', 'marketing investment allocation', 'bedding industry knowledge', 'consumer loan origination', 'sign sales', 'customer services market', 'assumptive close', 'defined contribution investment', 'influencer marketing', 'account problem resolution', 'marketing services industry knowledge', 'promotional management', 'qualitative marketing research'"
67,0,"'epdm rubber', 'single-ply roofing', 'flat roofing', 'modified bitumen', 'built-up roofing', 'roofing materials', 'commercial roofing', 'low-slope roofing', 're-roofing', 'roof mechanics', 'roof insulation surfaces', 'residential roofing', 'metal roofing', 'solar roofing system installation', 'asphalt roofing', 'green roofing', 'solar heat absorption reduction', 'roofing sales', 'waterproofing', 'roofing', 'framing and trim', 'service roofing', 'shingle', 'siding carpentry', 'lumber carrying'"
68,1,"'hp webinspect', 'metasploit', 'ibm appscan', 'source code security review', 'nexpose', 'static application security testing tools', 'checkmarx', 'fuzz testing', 'kismet', 'backtrack', 'open web application security project (owasp)', 'dynamic application security testing', 'security vulnerability & penetration testing', 'application security testing ecosystem', 'social engineering', 'fortify (software)', 'sql injection', 'qualys', 'rapid 7 appspider', 'application security assessment', 'foundstone', 'qualys vulnerability management', 'veracode', 'penetration testing', 'qualysguard'"
69,0,"'endometrial biopsy', 'wart', 'cervical cap', 'strep throat diagnosis / treatment', 'patient charting systems', 'hormone replacement therapy', 'punch biopsy', 'tympanogram', 'allergen immunotherapy', 'speculum', 'ingrown toenail', 'laceration repair', 'cryosurgery', 'rapid strep test', 'skin biopsy', 'family practice experience', 'superficial lacerations', 'allergy shots', 'strep screen', 'sore throat', 'sclerotherapy', 'food challenges', 'clinical assistant and/or medical assistant', 'peak flow meter', 'vasectomy'"
70,2,"'microscopic examination', 'clinical pathology', 'tissue processors', 'laboratory procedures', 'tissue preparation', 'clinical chemistry', 'cytology', 'cryostat', 'surgical pathology', 'microtomes', 'reagent preparation', 'histochemistry', 'specimen examination', 'medical technology', 'specimen processing', 'immunopathology', 'laboratory equipment', 'fixative', 'histocompatibility', 'specimen preparation', 'transfusion medicine', 'pipettes', 'immunogenetics', 'bacteriology', 'immunochemistry'"
71,1,"'ibm websphere process server', 'tibco', 'ibm datapower', 'oracle service bus', 'java message service (jms)', 'business process execution language (bpel)', 'tibco adapters', 'esql', 'tibco hawk', 'tibco ems', 'jboss enterprise service bus (esb)', 'ibm mqseries', 'webmethods', 'business rules engines', 'jboss fuse', 'ibm odm', 'tibco administration', 'ibm websphere', 'business process monitor (bpm)', 'web services standards', 'oracle web services manager (owsm)', 'apache camel', 'oracle business activity monitoring (bam)', 'ibm websphere datapower', 'apache servicemix'"
72,0,"'cell proliferation', 'cytokine assays', 'gene silencing', 'cell cloning', 'reporter gene assays', 'phosphorylation', 'shrna', 'rna interference (rnai)', 'transient transfection', 'apoptosis', 'quantitative real time pcr (qrt-pcr)', 'southern blot analysis', 'cell death', 'dendritic cells', 'cell differentiation', 'hematopoiesis', 'cell biology research', 'dna cloning', 'gene cloning', 'rna purification', 'bacterial transformation', 'cancer stem cells', 'gene expression regulation', 'monocyte', 'molecular cloning'"
73,0,"'patient flow', 'medical records filing', 'responding to patient phone calls', 'medical office experience', 'medical record logging', 'examination room preparation', 'patient preparation', 'medical records preparation', 'medical records accuracy', 'patient information collection', 'patient contact', 'medical records maintenance', 'suture removal', 'medical records verification', 'medical records assembly', 'family health', 'patient follow-up', 'medical terminology', 'medical office procedures', 'co-pay collection', 'minor surgery', 'electrocardiogram (ekg / ecg)', 'patient greeting', 'medical assistance', 'electronic medical records'"
74,2,"'immunogenicity testing', 'microorganism classification', 'scientific computer systems', 'animal rule', 'who drug dictionary (who-dd)', 'generic drug development', 'phase iii experience', 'bioanalytical technology', 'clinical database development', 'phase iv experience', 'totalchrom', 'biosample analysis', 'therapeutic monoclonal antibodies', 'oracle argus', 'hiv vaccine development', 'groundwater flow analysis', 'biotransformations', 'natural product chemistry', 'clinical pharmacology plan', 'statxact', 'product assay', 'dna vaccines', 'immunoassay design', 'immunoassay validation', 'wetlands protection act'"
75,0,"'exterior painting', 'interior painting', 'drywall repair', 'apartment maintenance', 'water heaters', 'lawn maintenance', 'plumbing repairs', 'drywall', 'irrigation systems', 'appliance repair', 'drywall patching', 'lawn mowing', 'paint sprayer', 'snow removal', 'plumbing', 'plumbing tools', 'plumbing maintenance', 'carpentry', 'plumbing systems', 'irrigation (agriculture)', 'drain cleaning', 'masonry', 'grass cutting', 'plumbing installation', 'basic carpentry'"
76,0,"'patient progress evaluation', 'therapy evaluation', 'therapy minutes management', 'therapeutic plan', 'therapy administration', 'rehabilitation enhancement', 'patient progress reporting', 'social adjustment facilitation', 'ambulatory functional activities', 'adaptive equipment', 'symptoms recording', 'disability prevention', 'electronic patient medical record', 'patient issue resolution', 'plaque control', 'determine hospital admission', 'dental supply inventory', 'interqual criteria', 'treatment preparation', 'rehabilitative nursing', 'treatment room preparation', 'home exercise programs', 'prescription writing', 'study cast polishing', 'determine medical necessity'"
77,0,"'industrial hygiene', 'environmental safety', 'industrial hygiene assessment', 'emergency planning and community right-to-know act (epcra)', 'non-hazardous waste management', 'health and safety compliance', 'occupational hygiene', 'pollution prevention', 'environmental management', 'air permitting', 'spill contingency planning', 'industrial health', 'hazardous waste manifests', 'spill prevention, control, and countermeasure (spcc)', 'environmental regulations', 'ohsas 18001', 'environmental compliance audits', 'environmental permit preparation', 'hazardous waste management', 'toxic substances control act (tsca)', 'environmental program management', 'air sampling', 'emergency response planning', 'occupational health and safety compliance', 'environmental compliance'"
78,1,"'stress echocardiography', 'transesophageal echocardiography', 'ultrasound setup', 'pericardial effusion', 'contrast media injection', 'nuchal', 'coronary angioplasty', 'doppler ultrasound', 'vascular procedures', 'coronary angiography', 'iliac', 'chorionic villus sampling', 'amniocentesis', 'pathologic findings', 'contrast studies', 'perinatology', 'echocardiography', 'radiation protection devices', 'ejection fraction', 'cyst aspirations', 'ventricular tachycardia', 'pharmacologic stress testing', 'contrast media administration', 'transvaginal ultrasound', 'atherectomy'"
79,0,"'stormcad', 'drainage design', 'pump station design', 'roadway design', 'civil site design', 'geopak', 'municipal engineer', 'highway design', 'low impact development', 'intersection design', 'autoturn', 'hydrologic analysis', 'storm water management', 'stream restoration', 'inroads', 'hydrologic modeling', 'sedimentation control', 'storm water collection systems', 'water quality modeling', 'civil 3d', 'wastewater engineering', 'hydrologic engineering', 'highway planning', 'civil engineering principles', 'wastewater treatment plant design'"
80,0,"'policy terms review', 'claims processing', 'claims adjustments', 'loss coverage determination', 'claims knowledge', 'property claims', 'claims support', 'claims service', 'vehicle construction', 'claim and billing resolution', 'claim management', 'commercial auto insurance sales', 'insurance underwriting', 'knowledge of insurance regulations', 'settlement negotiation', 'review of legal publications', 'risk selection', 'insurance coverage review', 'property and casualty insurance sales', 'acord forms', 'premium collection', 'investigation of claims', 'liability and compensation assessment', 'environmental claims', 'environmental underwriting'"
81,1,"'call-recording', 'genesys contact center', 'cisco contact center', 'cisco customer voice portal (cvp)', 'computer telephony integration', 'avaya', 'cisco unified contact center enterprise (ucce)', 'avaya aura', 'call center technology', 'interactive voice response (ivr)', 'interactive voice response system (ivrs) development', 'contact center software', 'genesys', 'ip contact centers', 'session initiated protocol (sip)', 'vectoring', 'cisco unified contact center express (uccx)', 'automatic call distributor', 'h.323', 'sip trunking', 'cisco call manager', 'iex workforce management', 'unified communications', 'cisco voice', 'verint systems'"
82,1,"'hortonworks', 'hadoop hortonworks', 'apache flume', 'oozie', 'sqoop', 'hadoop cloudera', 'cloudera', 'hadoop distributed file system (hdfs)', 'mapr (software)', 'ambari', 'hbase', 'pig', 'apache impala', 'apache hive', 'talend big data', 'ibm infosphere biginsights', 'hiveql', 'apache kafka', 'streamseats', 'aster data systems', 'mapreduce', 'cassandra', 'datameer', 'apache storm', 'graph databases'"
83,0,"'blepharoplasty', 'topical chemotherapy', 'cosmetic medicine', 'argon laser', 'tumescent', 'incisional biopsies', 'oculoplastic surgery', 'corneal surgery', 'dermatological disease knowledge', 'corneal transplant', 'chalazion', 'turbinate', 'orchiectomy', 'puva', 'actinic keratosis', 'puva treatment', 'ophthalmologic procedures', 'sclera', 'ophthalmologic services', 'excisional biopsy', 'gynecologic disorders', 'nevi', 'instilling medications', 'adrenal gland', 'hyperhidrosis'"
84,1,"'jax-rs', 'google guice', 'easymock', 'freemarker', 'mockito', 'spring data', 'spring core', 'spring framework', 'google web toolkit (gwt)', 'jasmine', 'mybatis', 'grunt (javascript)', 'jetty (web server)', 'spring boot', 'spring mvc', 'spring web flow', 'spring integration', 'resteasy', 'karma', 'jmock', 'ehcache', 'gradle', 'intellij idea', 'ibatis', 'qunit'"
85,0,"'communicable disease knowledge', 'sexually transmitted disease knowledge', 'scoliosis', 'influenza', 'audiometry', 'human immunodeficiency virus (hiv) knowledge', 'lab reports', 'herpes diagnosis / treatment', 'nasogastric', 'postoperative care', 'minor surgery', 'sexually transmitted infections', 'emergency care', 'urinalysis', 'public health and safety', 'infectious disease', 'disease prevention', 'medical record logging', 'bacteriology', 'chlamydia diagnosis / treatment', 'spirometry', 'mrsa', 'peak flow meters', 'preventive medicine', 'mycobacterium'"
86,3,"'finite element method / analysis software', 'pro/engineer', 'solidworks', 'mechanical design', 'ptc creo', 'finite element analysis', 'electromechanical design', 'tolerance analysis', 'design for manufacture/design for assembly (dfm/dfa)', 'unigraphics', 'prototype fabrication', 'solidedge', 'fatigue analysis', 'ansys', 'electromechanical systems', 'mechanical engineering', 'abaqus', 'computational fluid dynamics', 'stress analysis', 'catia', 'geometric dimensioning and tolerancing (gd&t)', 'metal forming', 'catia v5', 'nastran / patran', 'nastran'"
87,3,"'functional magnetic resonance imaging', 'neuroimaging studies', 'geophysical fluid dynamics', 'sequence alignment', 'weather prediction', 'gnuplot', 'gene identification', 'climate prediction', 'high-energy physics', 'fmri', 'x-ray computed tomography', 'cerebral cortex', 'comparative genomics', 'bioperl', 'synaptic transmission', 'computational chemistry', 'systems biology', 'drosophila', 'cortical', 'molecular modeling', 'expression profiling', 'bioinformatics analysis', 'ingenuity pathway analysis (ipa)', 'molecular evolution', 'genbank database'"
88,2,"'electrosurgery', 'laparoscopic procedures', 'arthroscopy', 'hernia repair', 'liposuction', 'allograft', 'laparoscopy', 'epidermal', 'biosurgicals', 'phacoemulsification', 'laparotomy', 'excimer laser', 'microsurgery', 'hyaluronic acid', 'da vinci surgical system', 'erectile dysfunction (ed)', 'biosurgery', 'cataract surgery', 'menorrhagia', 'breast biopsy', 'cosmeceutical', 'sentinel lymph node', 'urinary incontinence', 'high intensity focused ultrasound (hifu)', 'deep vein thrombosis'"
89,0,"'mortgage lending', 'loan approval', 'real estate lending', 'real estate settlement procedures act (respa)', 'loan origination', 'automated underwriting system', 'mortgage loan processing', 'residential mortgage lending', 'calyx point', 'loan documentation', 'desktop underwriter', 'mortgage loan origination', 'consumer loan underwriting', 'federal national mortgage association (fnma)', 'mortgage underwriting', 'mortgage loan closing', 'loan processing', 'conventional lending', 'loan officer experience', 'commercial lending', 'loan disbursement', 'federal home loan mortgage corp (fhlmc)', 'loan-to-value ratios', 'lending experience', 'mortgage loan servicing'"
90,0,"'psychotherapy', 'cognitive behavioral therapy', 'psychiatric evaluation', 'diagnostic and statistical manual of mental disorders', 'psychotropic medicine', 'psychiatric consultations', 'mental status examinations', 'inpatient treatment', 'psychopharmacology', 'family therapy', 'behavior therapy', 'psychosis', 'mental illness', 'outpatient treatment', 'dialectical behavioral therapy', 'group therapy', 'group treatment', 'crisis intervention', 'psychiatric disorders', 'mental health education', 'mental status assessment', 'suicide prevention', 'clinical psychology', 'behavioral medicine', 'buprenorphine'"
91,0,"'chemical process simulations', 'reaction kinetics', 'aspen', 'chemical engineering', 'hydrogen production', 'biomass conversion', 'chemical process engineering', 'chemical development and synthesis', 'powder handling', 'catalysis', 'chemical plant operations', 'fermentation', 'biofuel production', 'hazop', 'biofuels technology', 'biomass', 'gas injection', 'polymer synthesis', 'emulsion polymerization', 'refinery industry knowledge', 'upstream processing', 'equipment specification development', 'ion exchange', 'chemical processes', 'biodiesel production'"
92,0,"'supplier contract discontinuation', 'supplier bid process approval', 'supplier contract renewal', 'supplier consolidation', 'supply base performance measurement', 'supply base issue identification', 'potential supplier screening', 'supplier due diligence coordination', 'indirect categories sourcing', 'industry cost models', 'supplier core competencies evaluation', 'supply continuity protection', 'direct materials sourcing', 'global value sourcing', 'acquisition-related sourcing', 'commodity procurement strategy', 'total cost of ownership (tco) process improvement', 'outsourcing to low-cost regions', 'purchasing for manufacturing', 'regulatory requirements for the acquisition of goods', 'supplier industry conditions knowledge', 'supply chain realignment', 'supply chain outsourcing', 'supply base management', 'service supply chains'"
93,1,"'ciena', 'docsis', 'xdsl', 'dslam', 'network management systems (nms)', 'electric / co-axial / fiber optic cables', 'fiber testing', 'network installation', 'asynchronous transfer mode (atm)', 'handling fiber optics', 'marconi', 'fiber optics', 'cabling', 'dense wavelength division multiplexing', 'digital subscriber line (dsl)', 'broadband', 'tdm telephony', 'level antennas', 'time division multiplexing (tdm)', 'inmarsat', 'building industry consulting service international (bicsi)', 'antenna installation', 'category 5 (cat5) cable', 'data communications', 'internet protocol version 6 (ipv6)'"
94,0,"'office supply ordering', 'mail distribution', 'mail sorting', 'organizing office supplies', 'taking messages', 'travel arrangements', 'copying', 'calendar management', 'scanning', 'mailing', 'general office duties', 'meeting room scheduling', 'filing', 'multi-line telephones', 'shorthand', 'mail processing', 'secretarial skills', 'expense report processing', 'prepare spreadsheets', 'administrative support', 'invoice coding', 'clerical support', 'invoice processing', 'credit card reconciliation', 'file management'"
95,0,"'topic-based authoring', 'darwin information typing architecture (dita)', 'author-it', 'framemaker', 'madcap', 'chicago manual of style', 'arbortext', 'robohelp', 'translation memories', 'online help', 'online writing', 'mla style guide', 'copy editing', 'apa style guide', 'seo copywriting', 'marketing writing', 'interleaf', 'sgml', 'sports writing', 'ghostwriting', 's1000d', 'marketing copy', 'web writing', 'marketing content publishing', 'freelance writing'"
96,0,"'new media monitoring', 'social media monitoring', 'media negotiations', 'digital media strategy', 'online media campaigns', 'display network', 'advertising media plans', 'media buying', 'travel marketing', 'native advertising', 'display campaigns', 'media campaigning', 'blogger', 'media planning', 'article marketing', 'online acquisition', 'social marketing trends', 'atlas dmt', 'yahoo search marketing', 'new media advertising', 'digital media maintenance', 'media briefs', 'dart search', 'kenshoo', 'pay-per click advertising'"
97,0,"'urinary tract infection', 'diabetic ketoacidosis diagnosis / treatment', 'myasthenia gravis', 'neuropathic pain', 'dyslipidemia', 'hydrocephalus', 'cerebrovascular accident', 'endocrine disorders', 'pituitary', 'neurological assessment', 'immunosuppression', 'peripheral neuropathy', 'cirrhosis', 'emphysema', 'irritable bowel syndrome', 'neuropathic disorders', 'low back pain', 'osteoarthritis', 'constipation', 'autonomic nervous system', 'gerd', 'subdural', 'status epilepticus', 'fibromyalgia', 'neck pain diagnosis / treatment'"
98,0,"'patient massage', 'liniment', 'heat-lamp stimulation', 'disability adaptation', 'medical preparation application', 'household supplies collection', 'alcohol rubs', 'patient entertainment', 'healthy meal preparation', 'passive exercise', 'chemical processes', 'symptoms monitoring', 'care of newborn', 'integrated circuit testers', 'compress application', 'air conditioner installation', 'drug recommendation', 'component oriented development software', 'skin examination', 'dental calculus', 'development environment software', 'gum examination', 'care giving routines', 'genetic disease knowledge', 'disease statistics'"
99,0,"'high-performance liquid chromatography (hplc)', 'ultraviolet-visible spectroscopy', 'chromatography', 'analytical chemistry', 'uv-vis', 'sds-page', 'sodium dodecyl sulfate polyacrylamide gel electrophoresis', 'protein chemistry', 'wet chemistry', 'hplc-ms assays / lc-ms', 'ultra performance liquid chromatography (uplc)', 'endotoxin', 'bam/bioburden', 'enzyme-linked immunosorbent assay (elisa)', 'capillary electrophoresis', 'liquid chromatography', 'spectroscopic methods', 'auto-titrators', 'uv / vis spectrophotometer', 'ph meters', 'gas chromatography mass spectrometry (gc-ms)', 'imaged capillary isoelectric focusing (icief)', 'bioassays', 'good laboratory practices (glp)', 'protein characterization'"
100,0,"food science', 'crop management', 'agronomy', 'crop production', 'nutrition counseling', 'precision agriculture', 'agribusiness', 'tillage', 'crop rotation', 'organic food', 'sustainable agriculture', 'beef industry knowledge', 'malnutrition', 'good agricultural practices (gap)', 'agricultural industry knowledge', 'food industry knowledge', 'meat industry knowledge', 'dairy industry knowledge', 'enology', 'food security', 'farm products', 'agricultural research', 'ingredient functionality', 'ingredient testing', 'end stage renal disease (esrd) knowledge'"
101,3,"'anvato', 'newsroom management software', 'media 100', 'media cleaner pro', 'news anchoring', 'brand content production', 'teleprompter operations', 'cubase', 'consumer content development', 'catalogue images', 'arri alexa', 'rcs selector', 'tweetreach (twitter)', 'zetta automation', 'sports editing', 'source development', 'word play', 'gif animator', 'facebook design', 'article marketing', 'linear editing', 'fantasy gaming', 'disc duplication', 'adobe golive', 'vox pro systems'"
102,0,"'final expense sales', 'life insurance sales', 'final expense insurance', 'health insurance sales', 'entreprenuerial spirit', 'insurance sales', 'retirement planning', 'life and disability insurance sales', 'term life insurance sales', 'commercial insurance sales', 'motivational speaking', 'life insurance industry knowledge', 'commercial auto insurance sales', 'property and casualty insurance sales', 'embedded value accounting', 'financial advising', 'annuities', 'solvency ii directive', 'cash flow testing', 'cemap', 'insurance recommendation', 'group insurance', 'funeral insurance', 'investment sales', 'insurance underwriting'"
103,3,"'oracle 4 gl', 'dynamo application server', 'gchq', 'i2 buying and assortment management (bam)', 'quickfill fulfillment system', 'environmental trend analysis', 'oslan', 'enterprise software architecture', 'modelkey', 'meet market segment needs', 'kapiti', 'internet traffic', 'security planning', 'supply base trends analysis', 'loader api', 'caideal', 'luciddb', 'insurance policy changes', 'corporate books review', 'virtuoso universal server', 'ascend routers', 'business 400', 'employment services industry knowledge', 'supply chain business process automation', 'product team integration'"
104,0,"'percutaneous transluminal coronary angioplasty', 'swan-ganz catheter', 'percutaneous transluminal angioplasty', 'systole', 'cardiac tamponade', 'conscious sedation maintenance', 'intra-arterial pressure', 'assist with cast application', 'thrombolytic agent', 'internal cardiac defibrillator', 'transjugular intrahepatic portosystemic shunt', 'atrioventricular', 'atrial flutter', 'tocolytic', 'chest film', 'internal pacemaker', 'mobile intensive care unit driving', 'radiologic imaging equipment', 'sedation management', 'vcug', 'vasovagal reaction', 'abdominal aneurysm', 'carboxyhemoglobin', 'intussusception', 'pericardium'"
105,0,"'hospitality industry knowledge', 'banquet event orders (beos)', 'guest services', 'fine dining experience', 'event catering', 'catering sales', 'bowling', 'hotel industry knowledge', 'property management systems', 'restaurant experience', 'restaurant operations', 'guest ledger', 'food service experience', 'food delivery', 'food service sanitation', 'delphi', 'wardrobe maintenance', 'singing', 'group sales', 'bartending', 'food preparation', 'gymnastics', 'casino industry knowledge', 'city ledger', 'equal pay act'"
106,0,"'retail mortgage loan origination', 'government lending', 'federal lending regulations', 'residential appliance', 'residential appliance repair', 'federal lending', 'home mortgage disclosure act (hmda)', 'residential loan origination', 'federal housing administration (fha) familiarity', 'small engine repair', 'lodge sales', 'merchandise support', 'microdermabrasion', 'air conditioner repair', 'investment goal definition', 'satellite placement assessment', 'ulnar', 'residential real estate loan origination', 'bike repair', 'individual investment strategy', 'lab results reporting', 'stock inventory', 'riding mowers', 'alerting customers of mechanical or body damage', 'cellulite'"
107,1,"'microsoft windows communication foundation (wcf)', 'sharepoint portal server', 'microsoft biztalk server', 'k2 blackpearl', 'language integrated query (linq)', 'microsoft performancepoint server', 'metalogix', 'sharegate', 'telerik mobile app development platform', 'microsoft crm', 'nintex workflow', 'resharper', 'asp.net mvc', 'asp.net ajax', 'nintex', 'sql server reporting services (ssrs)', 'microsoft business intelligence development', 'activex data object (ado)', 'microsoft azure', 'microsoft edge', 'microsoft azure cloud services', 'biztalk', 'microsoft c', 'asp.net', 'microsoft dynamics nav'"
108,0,"'therapeutic exercise', 'home exercise programs', 'gait training', 'muscle testing', 'soft tissue mobilization', 'electrical stimulation', 'joint mobilization', 'iontophoresis', 'muscle re-education', 'electrotherapy', 'lymphedema', 'disability prevention', 'hydrotherapy', 'vestibular', 'physical therapy modalities', 'modalities administration', 'physical therapy evaluation', 'prosthetic', 'orthotics', 'patient rehabilitation', 'myofascial release', 'therapy planning', 'heat/cold therapy', 'prosthetic devices', 'physical therapy treatment plan'"
109,3,"'power benders', 'hydraulic pipe benders', 'breaker installation', 'electrical box installation', 'light fixture wiring', 'drain cleaning cables', 'electrical panel installation', 'repair/maintain personnel lifts', 'junction box installation', 'cable winches', 'pipe sweating', 'metal snips', 'industrial control wiring', 'concrete drills', 'cement saws', 'electrical box wiring', 'locking pliers', 'metal cutters', 'heliarc welding equipment', 'bench vises', 'flaring tools', 'concrete breakers', 'heating - cooling systems', 'chain jacks', 'spot, mig, and tig welding'"
110,0,"'lymphatic system', 'excision of skin lesions', 'abscesses', 'arthrocentesis', 'developmental history', 'practicing medicine', 'laceration repair', 'osteopathy', 'reproductive system', 'condition diagnosis', 'bursa', 'prescription writing', 'chiropractic diagnosis', 'health problem diagnosis', 'ingrown toenail', 'cryotherapy', 'occupational health physician', 'emergency medicine', 'medication prescription', 'internal medicine-pediatrics', 'therapy prescription', 'illness treatment', 'laceration', 'superficial lacerations', 'acute medical conditions'"
111,0,"'diabetic ketoacidosis diagnosis / treatment', 'hyperbilirubinemia', 'enterostomal therapist', 'apgar', 'inotropic', 'newborn intensive care unit', 'psychosocial/psychiatry', 'blood product administration', 'pneumothorax', 'pulmonary assessments', 'cellulitis', 'critical care assessments', 'fetal distress', 'care of newborn', 'cardiogenic shock', 'surgical intensive care unit (sicu) experience', 'jejunostomy', 'extrauterine', 'sepsis', 'antibiotics administration', 'hematoma', 'effacement', 'pca pump', 'acid-base balance', 'septic shock'"
112,2,"'enterprise mission assurance support service', 'plan of action and milestone', 'xacta', 'dod 8500', 'icd 503', 'dcid 6/3', 'certification & accreditation', 'system security plans', 'cnssi 1253', 'disa gold disk', 'jafan 6/3', 'nist sp 800-37', 'program protection plans', 'information assurance', 'jafan', 'department of defense intelligence information system', 'cyber security assessment & management', 'national industrial security program operating manual', 'host based security systems', 'jafan 6/4', 'dod information technology portfolio repository', 'diacap implementation plan', 'computer network defense', 'connection approval process', 'system identification profile'"
113,0,"'sales cycle', 'sales channels', 'direct sales', 'articulating value propositions', 'account development', 'enterprise sales', 'lead qualification', 'pipeline growth', 'sales prospecting', 'sales opportunities', 'software sales', 'complex sales', 'account strategy', 'technical sales', 'channel management', 'virtual sales', 'cold calling', 'large account management', 'technology sales', 'strategic sales', 'consultative sales', 'territory management', 'quota achievement', 'target market', 'inside sales'"
114,0,"'medical records program administration', 'medical records staff training', 'health information management (him) process improvement', 'cpt assistant familiarity', 'healthcare information system selection', 'health record sciences', 'softmed clintrac', 'health information management (him) operations evaluation', 'health information policy/procedure implementation', 'computerized patient abstract', 'health information policy/procedure development', '3m codefinder', 'dss/quadramed', 'congenital malformation', 'knowledge of uniform health care information act', 'clinical classification system', 'medicare inpatient coding', 'medical record deficiency removal', 'health information management (him) principles', 'coding clinic familiarity', 'medicare outpatient coding', 'horizon patient folder (hpf) indexing', 'health information act', 'spheris', 'release of information tracking systems'"
115,0,"'varicella', 'pertussis', 'diphtheria', 'chickenpox', 'tetanus', 'rubeola', 'measles mumps rubella (mmr)', 'hepatitis b', 'vaccination', 'influenza', 'disease diagnosis', 'mmr immunization', 'chest x-ray', 'polio', 'skin test', 'influenza vaccine', 'vaccines', 'hiv research', 'influenza immunization', 'hepatitis c', 'infectious disease', 'wound dressing', 'preventable disease', 'tuberculosis skin test', 'patient screening'"
